"Subnet","OverlappingSubnet","SubnetSite","OverlappingSite","SiteCollision","DCInSite"
"10.0.0.0","10.197.154.0","ISD","US-S00197","True","True"
"10.0.0.0","10.223.52.0","ISD","US-S00028","True","True"
"10.0.0.0","10.71.120.0","ISD","US-S00024","True","True"
"10.0.0.0","10.69.72.0","ISD","US-S00020","True","True"
"10.0.0.0","10.192.14.0","ISD","US-S00018","True","True"
"10.0.0.0","10.197.146.0","ISD","US-S00153","True","True"
"10.0.0.0","10.200.6.0","ISD","US-S00085","True","True"
"10.0.0.0","10.221.128.0","ISD","US-S00048","True","True"
"10.0.0.0","10.192.52.0","ISD","US-S00219","True","True"
"10.0.0.0","10.217.123.0","ISD","US-S00149","True","True"
"10.0.0.0","10.222.74.0","ISD","US-S00062","True","True"
"10.0.0.0","10.193.134.0","ISD","US-S00319","True","True"
"10.0.0.0","10.69.244.0","ISD","US-S00305","True","True"
"10.0.0.0","10.211.182.0","ISD","US-S00328","True","True"
"10.0.0.0","10.223.108.0","ISD","US-S00308","True","True"
"10.0.0.0","10.200.28.0","ISD","US-S00345","True","True"
"10.0.0.0","10.220.112.0","ISD","US-S00294","True","True"
"10.0.0.0","10.197.174.0","ISD","US-S00310","True","True"
"10.0.0.0","10.193.16.0","ISD","US-S00323","True","True"
"10.0.0.0","10.196.54.0","ISD","US-S00285","True","True"
"10.0.0.0","10.197.240.0","ISD","US-S00286","True","True"
"10.0.0.0","10.196.48.0","ISD","US-S00269","True","True"
"10.0.0.0","10.200.22.0","ISD","US-S00322","True","True"
"10.0.0.0","10.218.158.0","ISD","US-S00333","True","True"
"10.0.0.0","10.194.30.0","ISD","US-S00313","True","True"
"10.0.0.0","10.200.170.0","ISD","US-S00297","True","True"
"10.0.0.0","10.198.80.0","ISD","US-S00266","True","True"
"10.0.0.0","10.220.206.0","ISD","US-S00391","True","True"
"10.0.0.0","10.214.180.0","ISD","US-S00260","True","True"
"10.0.0.0","10.221.96.0","ISD","US-S00281","True","True"
"10.0.0.0","10.213.12.0","ISD","US-S00307","True","True"
"10.0.0.0","10.194.200.0","ISD","US-S00602","True","True"
"10.0.0.0","10.193.132.0","ISD","US-S00287","True","True"
"10.0.0.0","10.215.74.0","ISD","US-S00314","True","True"
"10.0.0.0","10.196.128.0","ISD","US-S00327","True","True"
"10.0.0.0","10.199.16.0","ISD","US-S00362","True","True"
"10.0.0.0","10.211.236.0","ISD","US-S00284","True","True"
"10.0.0.0","10.71.24.0","ISD","US-S00282","True","True"
"10.0.0.0","10.198.38.0","ISD","US-S00324","True","True"
"10.0.0.0","10.223.196.0","ISD","US-S00261","True","True"
"10.0.0.0","10.198.42.0","ISD","US-S00340","True","True"
"10.0.0.0","10.192.222.0","ISD","US-S00355","True","True"
"10.0.0.0","10.214.12.0","ISD","US-S00277","True","True"
